years,physical,chemistry,medicine,literature,peace
1901,Wilhelm Conrad Röntgen,Jacobus H. van 't Hoff,Emil von Behring,Sully Prudhomme,Henry Dunant
1902,Hendrik A. Lorentz,Hermann Emil Fischer,Ronald Ross,Theodor Mommsen,Élie Ducommun
1903,Henri Becquerel,Svante Arrhenius,Niels Ryberg Finsen,Bjørnstjerne Bjørnson,William Randal Cremer
1904,John William Strutt,William Ramsay,Ivan Pavlov,Frédéric Mistral,Instituto de Derecho Internacional
1905,Philipp Lenard,Adolf von Baeyer,Robert Koch,Henryk Sienkiewicz,Bertha von Suttner
1906,J. J. Thomson,Henri Moissan,Camillo Golgi,Giosuè Carducci,Theodore Roosevelt
1907,Albert A. Michelson,Eduard Buchner,Charles Louis Alphonse Laveran,Rudyard Kipling,Ernesto Teodoro Moneta
1908,Gabriel Lippmann,Ernest Rutherford,Ilya Ilyich Mechnikov,Rudolf Christoph Eucken,Klas Pontus Arnoldson
1909,Ferdinand Braun,Wilhelm Ostwald,Emil Theodor Kocher,Selma Lagerlöf,Auguste Marie François Beernaert
1910,Johannes Diderik van der Waals,Otto Wallach,Albrecht Kossel,Paul Heyse,Oficina Internacional por la Paz
1911,Wilhelm Wien,Marie Curie,Allvar Gullstrand,Maurice Maeterlinck,Tobias Michael Carel Asser
1912,Gustaf Dalén,Victor Grignard,Alexis Carrel,Gerhart Hauptmann,Elihu Root
1913,Heike Kamerlingh Onnes,Alfred Werner,Charles Richet,Rabindranath Tagore,Henri La Fontaine
1914,Max von Laue,Theodore William Richards,Robert Bárány,null,null
1915,William Henry Bragg,Richard Martin Willstätter,null,Romain Rolland,null
1916,null,null,null,Verner von Heidenstam,null
1917,Charles Glover Barkla,null,null,Karl Adolph Gjellerup,Comité Internacional de la Cruz Roja
1918,Max Planck,Fritz Haber,null,null,null
1919,Johannes Stark,null,Jules Bordet,Carl Spitteler,Woodrow Wilson
1920,Charles Edouard Guillaume,Walther Hermann Nernst,August Krogh,Knut Hamsun,Léon Bourgeois
1921,Albert Einstein,Frederick Soddy,null,Anatole France,Hjalmar Branting
1922,Niels Bohr,Francis William Aston,Archibald Hill,Jacinto Benavente,Fridtjof Nansen
1923,Robert A. Millikan,Fritz Pregl,Frederick Banting,William Butler Yeats,null
1924,Manne Siegbahn,null,Willem Einthoven,Władysław Reymont,null
1925,James Franck,Richard Adolf Zsigmondy,null,George Bernard Shaw,Austen Chamberlain
1926,Jean Baptiste Perrin,Theodor Svedberg,Johannes Andreas Grib Fibiger,Grazia Deledda,Aristide Briand
1927,Arthur Compton,Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,Ferdinand Buisson
1928,Owen Willans Richardson,Adolf Otto Reinhold Windaus,Charles Nicolle,Sigrid Undset,null
1929,Louis de Broglie,Arthur Harden,Christiaan Eijkman,Thomas Mann,Frank B. Kellogg
1930,C. Venkata Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan Söderblom
1931,null,Carl Bosch,Otto Heinrich Warburg,Erik Axel Karlfeldt,Jane Addams
1932,Werner Heisenberg,Irving Langmuir,Charles Scott Sherrington,John Galsworthy,null
1933,Erwin Schrödinger,null,Thomas Hunt Morgan,Ivan Bunin,Norman Angell
1934,null,Harold Clayton Urey,George Whipple,Luigi Pirandello,Arthur Henderson
1935,James Chadwick,Frédéric Joliot-Curie,Hans Spemann,null,Carl von Ossietzky
1936,Victor F. Hess,Peter Debye,Henry Hallett Dale,Eugene O'Neill,Carlos Saavedra Lamas
1937,Clinton Davisson,Walter Haworth,Albert Szent-Györgyi,Roger Martin du Gard,Robert Cecil
1938,Enrico Fermi,Richard Kuhn,Corneille Heymans,Pearl S. Buck,Oficina Internacional Nansen para los Refugiados
1939,Ernest Lawrence,Adolf Butenandt,Gerhard Domagk,Frans Eemil Sillanpää,null
1940,null,null,null,null,null
1941,null,null,null,null,null
1942,null,null,null,null,null
1943,Otto Stern,George de Hevesy,Henrik Dam,null,null
1944,Isidor Isaac Rabi,Otto Hahn,Joseph Erlanger,Johannes Vilhelm Jensen,Comité Internacional de la Cruz Roja
1945,Wolfgang Pauli,Artturi Ilmari Virtanen,Alexander Fleming,Gabriela Mistral,Cordell Hull
1946,Percy W. Bridgman,James B. Sumner,Hermann Joseph Muller,Hermann Hesse,Emily Greene Balch
1947,Edward V. Appleton,Robert Robinson,Carl Ferdinand Cori,André Gide,Friends Service Council
1948,Patrick M.S. Blackett,Arne Tiselius,Paul Hermann Müller,T. S. Eliot,null
1949,Hideki Yukawa,William Francis Giauque,Walter Rudolf Hess,William Faulkner,John Boyd Orr
1950,Cecil Powell,Otto Diels,Philip Showalter Hench,Bertrand Russell,Ralph Bunche
1951,John Cockcroft,Edwin McMillan,Max Theiler,Pär Lagerkvist,Léon Jouhaux
1952,Felix Bloch,Archer John Porter Martin,Selman Waksman,François Mauriac,Albert Schweitzer
1953,Frits Zernike,Hermann Staudinger,Hans Adolf Krebs,Winston Churchill,George Marshall
1954,Max Born,Linus Pauling,John Franklin Enders,Ernest Hemingway,Alto Comisionado de las Naciones Unidas para los Refugiados
1955,Willis E. Lamb,Vincent du Vigneaud,Hugo Theorell,Halldór Laxness,null
1956,William B. Shockley,Cyril Norman Hinshelwood,André Frédéric Cournand,Juan Ramón Jiménez,null
1957,Chen Ning Yang,Alexander Robert Todd,Daniel Bovet,Albert Camus,Lester B. Pearson
1958,Pável Cherenkov,Frederick Sanger,George Wells Beadle,Boris Pasternak,Georges Pire
1959,Emilio Segrè,Jaroslav Heyrovský,Arthur Kornberg,Salvatore Quasimodo,Philip J. Noel-Baker
1960,Donald A. Glaser,Willard Libby,Frank Macfarlane Burnet,Saint-John Perse,Albert Lutuli
1961,Robert Hofstadter,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld
1962,Lev Landáu,Max Perutz,Francis Crick,John Steinbeck,Linus Pauling
1963,Eugene Wigner,Karl Ziegler,John Carew Eccles,Giorgos Seferis,Comité Internacional de la Cruz Roja
1964,Charles H. Townes,Dorothy Crowfoot Hodgkin,Konrad Emil Bloch,Jean-Paul Sartre,"Martin Luther King, Jr."
1965,Sin-Itiro Tomonaga,Robert Burns Woodward,François Jacob,Mijaíl Sholojov,Fondo de Naciones Unidas para la Infancia (Unicef)
1966,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous,Shmuel Yosef Agnon,null
1967,Hans Bethe,Manfred Eigen,Ragnar Granit,Miguel Ángel Asturias,null
1968,Luis Walter Álvarez,Lars Onsager,Robert W. Holley,Yasunari Kawabata,René Cassin
1969,Murray Gell-Mann,Derek Barton,Max Delbrück,Samuel Beckett,Organización Internacional del Trabajo
1970,Hannes Alfvén,Luis F. Leloir,Julius Axelrod,Aleksandr Solzhenitsyn,Norman Borlaug
1971,Dennis Gabor,Gerhard Herzberg,"Earl Wilbur Sutherland, Jr.",Pablo Neruda,Willy Brandt
1972,John Bardeen,Christian B. Anfinsen,Gerald Edelman,Heinrich Böll,null
1973,Leo Esaki,Ernst Otto Fischer,Karl von Frisch,Patrick White,Henry Kissinger
1974,Martin Ryle,Paul Flory,Albert Claude,Eyvind Johnson,Seán MacBride
1975,Aage Bohr,John Cornforth,David Baltimore,Eugenio Montale,Andréi Sájarov
1976,Burton Richter,William Lipscomb,Baruch Samuel Blumberg,Saul Bellow,Betty Williams
1977,Philip Warren Anderson,Ilya Prigogine,Roger Guillemin,Vicente Aleixandre,Amnistía Internacional
1978,Piotr Kapitsa,Peter D. Mitchell,Werner Arber,Isaac Bashevis Singer,Anwar El Sadat
1979,Sheldon Glashow,Herbert C. Brown,Allan McLeod Cormack,Odysseas Elytis,Teresa de Calcuta
1980,James Cronin,Paul Berg,Baruj Benacerraf,Czesław Miłosz,Adolfo Pérez Esquivel
1981,Nicolaas Bloembergen,Kenichi Fukui,Roger W. Sperry,Elias Canetti,Alto Comisionado de las Naciones Unidas para y los Refugiados
1982,Kenneth G. Wilson,Aaron Klug,Sune Bergström,Gabriel García Márquez,Alva Myrdal
1983,Subramanyan Chandrasekhar,Henry Taube,Barbara McClintock,William Golding,Lech Wałęsa
1984,Carlo Rubbia,Robert Bruce Merrifield,Niels Kai Jerne,Jaroslav Seifert,Desmond Tutu
1985,Klaus von Klitzing,Herbert A. Hauptman,Michael Stuart Brown,Claude Simon,Asociación Internacional de Médicos para la Prevención de la Guerra Nuclear
1986,Ernst Ruska,Dudley R. Herschbach,Stanley Cohen,Wole Soyinka,Elie Wiesel
1987,J. Georg Bednorz,Donald J. Cram,Susumu Tonegawa,Joseph Brodsky,Óscar Arias
1988,Leon M. Lederman,Johann Deisenhofer,James W. Black,Naguib Mahfouz,Fuerzas de paz de las Naciones Unidas
1989,Norman F. Ramsey,Sidney Altman,J. Michael Bishop,Camilo José Cela,Tenzin Gyatso
1990,Jerome I. Friedman,Elias James Corey,Joseph Murray,Octavio Paz,Mijaíl Gorbachov
1991,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher,Nadine Gordimer,Aung San Suu Kyi
1992,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer,Derek Walcott,Rigoberta Menchú
1993,Russell A. Hulse,Kary Mullis,Richard J. Roberts,Toni Morrison,Nelson Mandela
1994,Bertram N. Brockhouse,George Andrew Olah,Alfred G. Gilman,Kenzaburo Oe,Yasser Arafat
1995,Martin L. Perl,Paul J. Crutzen,Edward B. Lewis,Seamus Heaney,Joseph Rotblat
1996,David M. Lee,Robert F. Curl Jr.,Peter C. Doherty,Wisława Szymborska,Carlos Filipe Ximenes Belo
1997,Steven Chu,Paul D. Boyer,Stanley B. Prusiner,Dario Fo,Jody Williams
1998,Robert B. Laughlin,Walter Kohn,Robert F. Furchgott,José Saramago,John Hume
1999,Gerardus 't Hooft,Ahmed Zewail,Günter Blobel,Günter Grass,Médicos Sin Fronteras
2000,Zhores I. Alferov,Alan J. Heeger,Arvid Carlsson,Gao Xingjian,Kim Dae Jung
2001,Eric A. Cornell,William S. Knowles,Leland H. Hartwell,V. S. Naipaul,Kofi Annan
2002,"Raymond Davis, Jr.",John Bennett Fenn,Sydney Brenner,Imre Kertész,Jimmy Carter
2003,Alexei A. Abrikosov,Peter Agre,Paul Lauterbur,J. M. Coetzee,Shirin Ebadi
2004,David J. Gross,Aarón Ciechanover,Richard Axel,Elfriede Jelinek,Wangari Maathai
2005,Roy J. Glauber,Yves Chauvin,Barry Marshall,Harold Pinter,Mohamed ElBaradei
2006,John C. Mather,Roger D. Kornberg,Andrew Fire,Orhan Pamuk,Muhammad Yunus
2007,Albert Fert,Gerhard Ertl,Mario Capecchi,Doris Lessing,Al Gore
2008,Yoichiro Nambu,Osamu Shimomura,Harald zur Hausen,Jean-Marie Gustave Le Clézio,Martti Ahtisaari
2009,Charles K. Kao,Venkatraman Ramakrishnan,Elizabeth Blackburn,Herta Müller,Barack Obama
2010,Andre Geim,Richard Heck,Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo
2011,Saul Perlmutter,Dan Shechtman,Bruce Beutler,Tomas Tranströmer,Ellen Johnson Sirleaf
2012,Serge Haroche,Brian K. Kobilka,John B. Gurdon,Mo Yan,Unión Europea
2013,François Englert,Martin Karplus,James E. Rothman,Alice Munro,Organización para la Prohibición de Armas Químicas
2014,Isamu Akasaki,William Moerner,John O'Keefe,Patrick Modiano,Malala Yousafzai
2015,Takaaki Kajita,Tomas Lindahl,William C. Campbell,Svetlana Alexievich,Cuarteto para el Diálogo Nacional Tunecino
2016,David Thouless,Jean-Pierre Sauvage,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos
2017,Rainer Weiss,Jacques Dubochet,Jeffrey C. Hall,Kazuo Ishiguro,Campaña Internacional para Abolir las Armas Nucleares
2018,Arthur Ashkin,Frances H. Arnold,James P. Allison,Olga Tokarczuk,Denis Mukwege
2019,James Peebles,John B. Goodenough,William Kaelin Jr.,Olga Tokarczuk,Abiy Ahmed Ali
2020,Roger Penrose,Emmanuelle Charpentier,Harvey J. Alter,Louise Glück,Programa Mundial de Alimentos
2021,Syukuro Manabe,Benjamin List,David Julius,Abdulrazak Gurnah,María Ressa
